2026-05-20 11:18:22,063 - INFO - 金价监控启动，检查间隔 10 分钟，超时 30 分钟
2026-05-20 11:18:22,383 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 11:18:22,384 - INFO - 当前金价: 998.07元, 基准价(早盘价): 999.72元, 涨跌: -0.17%
2026-05-20 11:18:22,416 - INFO - 通知发送成功: 金价下跌 -0.17%（警报）
2026-05-20 11:18:22,644 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 11:18:52,975 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 11:19:23,325 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 11:19:53,643 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 11:20:23,915 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 11:20:54,186 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 11:21:24,529 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 11:21:54,783 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 11:22:25,070 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 11:22:55,377 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 11:23:25,628 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 11:23:55,936 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 11:24:26,182 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 11:24:56,508 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 11:25:26,771 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 11:25:57,031 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 11:26:27,366 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 11:26:57,719 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 11:27:28,019 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 11:27:58,312 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 11:28:28,570 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 11:28:28,573 - INFO - 当前金价: 998.07元, 基准价(早盘价): 999.72元, 涨跌: -0.17%
2026-05-20 11:28:28,889 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 11:28:59,188 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 11:29:29,486 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 11:29:59,735 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 11:30:30,043 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 11:31:00,414 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 11:31:30,713 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 11:32:00,959 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 11:32:31,223 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 11:33:01,544 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 11:33:31,806 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 11:34:02,096 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 11:34:32,402 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 11:35:02,710 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 11:35:33,054 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 11:36:03,441 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 11:36:33,760 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 11:37:04,046 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 11:37:34,330 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 11:38:04,607 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 11:38:34,879 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 11:38:34,879 - INFO - 当前金价: 998.07元, 基准价(早盘价): 999.72元, 涨跌: -0.17%
2026-05-20 11:38:35,151 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 11:39:05,427 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 11:39:35,779 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 11:40:06,071 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 11:40:36,378 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 11:41:06,683 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 11:41:36,960 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 11:42:07,268 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 11:42:37,520 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 11:43:07,814 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 11:43:38,102 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 11:44:08,364 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 11:44:38,658 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 11:45:09,145 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 11:45:39,413 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 11:46:09,677 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 11:46:39,938 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 11:47:10,181 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 11:47:40,475 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 11:48:10,769 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 11:48:41,010 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 11:48:41,011 - INFO - 当前金价: 998.07元, 基准价(早盘价): 999.72元, 涨跌: -0.17%
2026-05-20 11:48:41,245 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 11:48:41,246 - INFO - 超过 30 分钟价格无变化，退出监控
2026-05-20 11:49:42,998 - INFO - 金价监控启动，检查间隔 10 分钟，超时 30 分钟
2026-05-20 11:49:43,259 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 11:49:43,260 - INFO - 当前金价: 998.07元, 基准价(早盘价): 999.72元, 涨跌: -0.17%
2026-05-20 11:49:43,526 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 11:50:13,781 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 11:50:44,069 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 11:51:14,324 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 11:51:44,624 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 11:52:14,878 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 11:52:45,109 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 11:53:15,441 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 11:53:45,720 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 11:54:16,025 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 11:54:46,270 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
2026-05-20 11:55:16,593 - INFO - 黄金数据: 时间=2026-05-18, 晚盘价=998.07, 早盘价=999.72
